route,page_type,page_title,section_title,content_category,image_src,asset_id,alt_text,actual_visual,expected_visual,match_status,severity,current_reuse_count,recommended_action
/blog/best-sportswear-fabrics/,article,Best Sportswear Fabrics,,best sportswear fabrics best sportswear fabrics explained | complete teamwear fabric guide | poxiol ,https://cdn.sanity.io/images/oqpv1xbc/production/bd27eaada59c34905cbe847ae00131ccf3988670-1672x941.webp,image-bd27eaada59c34905cbe847ae00131ccf3988670-1672x941-webp,POXIOL Best Sportswear Fabrics,unclear,unclear,unclear,LOW,4,
/blog/custom-baseball-jerseys-for-clubs/,article,Custom Baseball Jerseys For Clubs,,custom baseball jerseys for clubs custom baseball jerseys for clubs | team baseball uniforms | poxio,https://cdn.sanity.io/images/oqpv1xbc/production/30a56e521bc0b8b7d496804c179c2d4c363b13ba-1672x941.webp,image-30a56e521bc0b8b7d496804c179c2d4c363b13ba-1672x941-webp,POXIOL Custom Baseball Jerseys For Clubs,unclear,unclear,unclear,LOW,14,
/blog/custom-basketball-jerseys-melbourne/,article,Custom Basketball Jerseys Melbourne,,custom basketball jerseys melbourne custom basketball jerseys melbourne | teamwear manufacturer | po,https://cdn.sanity.io/images/oqpv1xbc/production/5672ddaf07dbaee8c9c9ad809fa69ee28703bf17-1672x941.webp,image-5672ddaf07dbaee8c9c9ad809fa69ee28703bf17-1672x941-webp,POXIOL Custom Basketball Jerseys Melbourne,unclear,basketball,unclear,LOW,7,
/blog/custom-basketball-uniforms-for-schools/,article,Custom Basketball Uniforms For Schools,,custom basketball uniforms for schools custom basketball uniforms for schools | high school basketba,https://cdn.sanity.io/images/oqpv1xbc/production/5672ddaf07dbaee8c9c9ad809fa69ee28703bf17-1672x941.webp,image-5672ddaf07dbaee8c9c9ad809fa69ee28703bf17-1672x941-webp,POXIOL Custom Basketball Uniforms For Schools,unclear,basketball,unclear,LOW,7,
/blog/custom-soccer-kits-london/,article,Custom Soccer Kits London,,custom soccer kits london custom soccer kits london | football teamwear manufacturer | poxiol   poxi,https://cdn.sanity.io/images/oqpv1xbc/production/bd27eaada59c34905cbe847ae00131ccf3988670-1672x941.webp,image-bd27eaada59c34905cbe847ae00131ccf3988670-1672x941-webp,POXIOL Custom Soccer Kits London,unclear,soccer,unclear,LOW,4,
/blog/custom-soccer-uniforms-for-academies/,article,Custom Soccer Uniforms For Academies,,custom soccer uniforms for academies custom soccer uniforms for academies | youth soccer kits manufa,https://cdn.sanity.io/images/oqpv1xbc/production/bcb5f223883abc85aa9d2d103c55c04aef10689a-1672x941.webp,image-bcb5f223883abc85aa9d2d103c55c04aef10689a-1672x941-webp,POXIOL Custom Soccer Uniforms For Academies,unclear,soccer,unclear,LOW,3,
/blog/custom-sports-apparel-distributor/,article,Custom Sports Apparel Distributor,,custom sports apparel distributor custom sports apparel distributor | teamwear manufacturing partner,https://cdn.sanity.io/images/oqpv1xbc/production/283fe8fec0e0dc21d80f721b195d14be62d48d05-1376x768.png,image-283fe8fec0e0dc21d80f721b195d14be62d48d05-1376x768-png,POXIOL Custom Sports Apparel Distributor,unclear,unclear,unclear,LOW,11,
/blog/custom-teamwear-new-york/,article,Custom Teamwear New York,,custom teamwear new york custom teamwear new york | sports apparel manufacturer | poxiol   poxiol cu,https://cdn.sanity.io/images/oqpv1xbc/production/3c284bf7dacd6c588854e70d851d03dda51fe408-1376x768.png,image-3c284bf7dacd6c588854e70d851d03dda51fe408-1376x768-png,POXIOL Custom Teamwear New York,unclear,unclear,unclear,LOW,12,
/blog/custom-volleyball-uniforms-for-schools/,article,Custom Volleyball Uniforms For Schools,,custom volleyball uniforms for schools custom volleyball uniforms for schools | school volleyball ki,https://cdn.sanity.io/images/oqpv1xbc/production/500a7fd38a47376d3b15d737d4b0ffb76f1f0ffb-1672x941.webp,image-500a7fd38a47376d3b15d737d4b0ffb76f1f0ffb-1672x941-webp,POXIOL Custom Volleyball Uniforms For Schools,unclear,unclear,unclear,LOW,9,
/blog/how-sublimation-printing-works-for-teamwear/,article,How Sublimation Printing Works For Teamwear,,how sublimation printing works for teamwear how sublimation printing works for teamwear | complete t,https://cdn.sanity.io/images/oqpv1xbc/production/30a56e521bc0b8b7d496804c179c2d4c363b13ba-1672x941.webp,image-30a56e521bc0b8b7d496804c179c2d4c363b13ba-1672x941-webp,POXIOL How Sublimation Printing Works For Teamwear,unclear,unclear,unclear,LOW,14,
/blog/how-to-choose-a-teamwear-manufacturer/,article,How To Choose A Teamwear Manufacturer,,how to choose a teamwear manufacturer how to choose a teamwear manufacturer | complete buyer guide |,https://cdn.sanity.io/images/oqpv1xbc/production/66ead13a5a42384f7d175a765e9709b9eb613d46-1448x1086.webp,image-66ead13a5a42384f7d175a765e9709b9eb613d46-1448x1086-webp,POXIOL How To Choose A Teamwear Manufacturer,unclear,unclear,unclear,LOW,4,
/blog/oem-baseball-apparel-manufacturer/,article,Oem Baseball Apparel Manufacturer,,oem baseball apparel manufacturer oem baseball apparel manufacturer | private label baseball gear | ,https://cdn.sanity.io/images/oqpv1xbc/production/5672ddaf07dbaee8c9c9ad809fa69ee28703bf17-1672x941.webp,image-5672ddaf07dbaee8c9c9ad809fa69ee28703bf17-1672x941-webp,POXIOL Oem Baseball Apparel Manufacturer,unclear,unclear,unclear,LOW,7,
/blog/oem-basketball-apparel-manufacturer/,article,Oem Basketball Apparel Manufacturer,,oem basketball apparel manufacturer oem basketball apparel manufacturer | private label basketball j,https://cdn.sanity.io/images/oqpv1xbc/production/66ead13a5a42384f7d175a765e9709b9eb613d46-1448x1086.webp,image-66ead13a5a42384f7d175a765e9709b9eb613d46-1448x1086-webp,POXIOL Oem Basketball Apparel Manufacturer,unclear,basketball,unclear,LOW,4,
/blog/oem-soccer-apparel-manufacturer/,article,Oem Soccer Apparel Manufacturer,,oem soccer apparel manufacturer oem soccer apparel manufacturer | private label soccer kits | poxiol,https://cdn.sanity.io/images/oqpv1xbc/production/22b3138b93bebaf819ffc7cb7d07d60b14060d07-1672x941.webp,image-22b3138b93bebaf819ffc7cb7d07d60b14060d07-1672x941-webp,POXIOL Oem Soccer Apparel Manufacturer,unclear,soccer,unclear,LOW,12,
/blog/oem-volleyball-apparel-manufacturer/,article,Oem Volleyball Apparel Manufacturer,,oem volleyball apparel manufacturer oem volleyball apparel manufacturer | private label volleyball k,https://cdn.sanity.io/images/oqpv1xbc/production/640daa66104cab60d192a2439f00cc79b5ff5c12-1672x941.webp,image-640daa66104cab60d192a2439f00cc79b5ff5c12-1672x941-webp,POXIOL Oem Volleyball Apparel Manufacturer,unclear,unclear,unclear,LOW,6,
/blog/oem-vs-odm-sportswear/,article,Oem Vs Odm Sportswear,,oem vs odm sportswear oem vs odm sportswear manufacturing | complete teamwear guide | poxiol   poxio,https://cdn.sanity.io/images/oqpv1xbc/production/640daa66104cab60d192a2439f00cc79b5ff5c12-1672x941.webp,image-640daa66104cab60d192a2439f00cc79b5ff5c12-1672x941-webp,POXIOL Oem Vs Odm Sportswear,unclear,unclear,unclear,LOW,6,
/blog/soccer-jersey-buying-guide/,article,Soccer Jersey Buying Guide,,soccer jersey buying guide soccer jersey buying guide | how to order custom soccer kits | poxiol   p,https://cdn.sanity.io/images/oqpv1xbc/production/bcb5f223883abc85aa9d2d103c55c04aef10689a-1672x941.webp,image-bcb5f223883abc85aa9d2d103c55c04aef10689a-1672x941-webp,POXIOL Soccer Jersey Buying Guide,unclear,soccer,unclear,LOW,3,
/blog/soccer-jersey-supplier-australia/,article,Soccer Jersey Supplier Australia,,soccer jersey supplier australia soccer jersey supplier australia | custom football kits manufacture,https://cdn.sanity.io/images/oqpv1xbc/production/22b3138b93bebaf819ffc7cb7d07d60b14060d07-1672x941.webp,image-22b3138b93bebaf819ffc7cb7d07d60b14060d07-1672x941-webp,POXIOL Soccer Jersey Supplier Australia,unclear,soccer,unclear,LOW,12,
