priority,document_id,document_type,route,field_path,page_title,current_asset_id,current_visual_category,expected_visual_category,approved_existing_asset_id,replacement_status,new_asset_requirement,recommended_alt_text,notes
P0,34b07755040843b8,article,/guides/school-basketball-uniform-order-checklist/,featuredImage,School Basketball Uniform Order Checklist,image-22b3138b93bebaf819ffc7cb7d07d60b14060d07,soccer kits,basketball uniforms,image-500a7fd38a47376d3b15d737d4b0ffb76f1f0ffb,APPROVED_EXISTING_ASSET,,Basketball uniforms featuring POXIOL custom sublimation design displayed by three players on a court,Soccer asset must not be used on basketball article
P0,product-category-soccer-mvp,productCategory,/products/soccer-jerseys/,heroImage,Soccer Kits,image-500a7fd38a47376d3b15d737d4b0ffb76f1f0ffb,basketball uniforms,soccer kits,image-22b3138b93bebaf819ffc7cb7d07d60b14060d07,APPROVED_EXISTING_ASSET,,Soccer kits featuring POXIOL custom sublimation jerseys worn by three players on a field,Basketball asset must not be used on soccer category
P0,8f0bae4e1e7345f6,productCategory,/products/training-wear/,heroImage,Training Wear,image-30a56e521bc0b8b7d496804c179c2d4c363b13ba,baseball/softball,training wear,,NEED_NEW_ASSET,Training wear product shot showing track jacket or training shirt with POXIOL branding. Model in workout setting. No ball sports visible.,Training wear apparel with POXIOL branding in a fitness or gym context,Baseball asset must not be used for training category
P0,544c0e47d4ec4f3f,productCategory,/products/team-accessories/,heroImage,Team Accessories,image-500a7fd38a47376d3b15d737d4b0ffb76f1f0ffb,basketball uniforms,team accessories,,NEED_NEW_ASSET,Team accessory products (bags socks headbands) displayed on clean background with POXIOL logo. At least 3 accessory items visible.,POXIOL team accessories including custom sublimated bag socks and headbands,Basketball team image does not show accessories
P0,9c39167c13114cdb,productCategory,/products/hoodies-jackets/,heroImage,Hoodies and Jackets,image-3c284bf7dacd6c588854e70d851d03dda51fe408,design/mockup,hoodies/jackets,,NEED_NEW_ASSET,Hoodie or jacket product prominently displayed. Model wearing zip-up jacket or pullover hoodie with POXIOL branding. Outdoor or studio setting.,POXIOL custom sublimated hoodie with team design in an outdoor or studio setting,Current image shows design workstation not outerwear
P0,061bfa7135304966,product,/products/basketball-uniforms/...,primaryImage,Basketball Uniforms Full Team Sets,image-22b3138b93bebaf819ffc7cb7d07d60b14060d07,soccer kits,basketball uniforms,image-500a7fd38a47376d3b15d737d4b0ffb76f1f0ffb,APPROVED_EXISTING_ASSET,,Basketball uniforms featuring POXIOL custom sublimation design displayed by three players on a court,Soccer asset must not be used on basketball product
P0,64a9b79c76a04895,product,/products/training-wear/...,primaryImage,Training Wear Training Tops,image-22b3138b93bebaf819ffc7cb7d07d60b14060d07,soccer kits,training wear,,NEED_NEW_ASSET,Training top prominently displayed with POXIOL branding. Moisture-wicking fabric visible. Fitness or track setting.,POXIOL custom sublimated training top with moisture-wicking performance fabric,Soccer visual must not be used for training product
P0,f4b9b57bfb114531,product,/products/hoodies-jackets/...,primaryImage,Hoodies Jackets Fleece Outerwear,image-22b3138b93bebaf819ffc7cb7d07d60b14060d07,soccer kits,hoodies/jackets,,NEED_NEW_ASSET,Fleece jacket or pullover hoodie visibly shown on model. POXIOL branding confirmed. Studio or outdoor portrait crop.,POXIOL custom sublimated fleece jacket with team design and soft inner lining,Soccer visual must not be used for outerwear product
P0,58cc84bcbce544b9,article,/guides/...,featuredImage,Custom Basketball Uniform Manufacturer Guide,image-22b3138b93bebaf819ffc7cb7d07d60b14060d07,soccer kits,basketball uniforms,image-500a7fd38a47376d3b15d737d4b0ffb76f1f0ffb,APPROVED_EXISTING_ASSET,,Basketball uniforms featuring POXIOL custom sublimation design displayed by three players on a court,Soccer asset must not be used on basketball article
P0,69a3eb85420a43b6,article,/guides/...,featuredImage,Soccer Teamwear Supplier USA,image-500a7fd38a47376d3b15d737d4b0ffb76f1f0ffb,basketball uniforms,soccer kits,image-22b3138b93bebaf819ffc7cb7d07d60b14060d07,APPROVED_EXISTING_ASSET,,Soccer kits featuring POXIOL custom sublimation jerseys worn by three players on a field,Basketball asset must not be used on soccer article
P0,f1550549e7154f6f,article,/guides/...,featuredImage,Custom Volleyball Uniforms for Schools,image-500a7fd38a47376d3b15d737d4b0ffb76f1f0ffb,basketball uniforms,volleyball uniforms,,NEED_NEW_ASSET,Volleyball uniform featuring POXIOL sublimation. Single player in studio or court setting.,POXIOL custom sublimated volleyball jersey with moisture-wicking fabric,Basketball visual must not be used for volleyball article
